Nome Attivita,Comune,Categoria,Sottocategoria,Distanza KM,Telefono,Email,Sito Web,Cosa Fanno,Recensioni Positive,Recensioni Critiche,Punti Deboli Osservati,Proposta Preferita,Canale Preferito,Note Libere,Fonte Note
San Rocco,N/D,Negozi,Stationery,0.04,N/D,N/D,N/D,,,,,,,,
Rossi,N/D,Sanita',Farmacia,0.09,N/D,N/D,N/D,,,,,,,,
La Pepita,Vedano Olona,Ristorazione,Bar,0.23,N/D,N/D,N/D,,,,,,,,
7's Giò,Vedano Olona,Ristorazione,Bar,0.38,N/D,N/D,N/D,,,,,,,,
Santa Teresa,Vedano Olona,Ristorazione,Ristorante,0.47,N/D,N/D,N/D,,,,,,,,
Il fico d'India,N/D,Ristorazione,Pub,0.59,N/D,N/D,N/D,,,,,,,,
Centro Sportivo Mario Porta,N/D,Fitness & Sport,Centro Sportivo,0.62,N/D,N/D,N/D,,,,,,,,
Sicam,N/D,Servizi Professionali,Azienda,0.72,N/D,N/D,N/D,,,,,,,,
Centro Diagnostico Salus,N/D,Sanita',Clinica,0.88,N/D,N/D,N/D,,,,,,,,
Alby Pelletteria e Accessori,Vedano Olona,Negozi,Wholesale,0.99,N/D,N/D,N/D,,,,,,,,
EuroSpin,N/D,Negozi,Supermarket,1.17,N/D,N/D,N/D,,,,,,,,
Kiri,N/D,Ristorazione,Ristorante,1.31,+390332861783,N/D,N/D,,,,,,,,
Azienda agricola La Prateria,N/D,Negozi,Butcher,1.36,N/D,N/D,N/D,,,,,,,,
Albergo Ristorante Marone,N/D,Ristorazione,Ristorante,1.41,N/D,N/D,N/D,,,,,,,,
Ferroni,Vedano Olona,Sanita',Veterinario,1.42,N/D,N/D,N/D,,,,,,,,
X Fashion,N/D,Negozi,Clothes,1.42,N/D,N/D,N/D,,,,,,,,
Brico OK,N/D,Negozi,Doityourself,1.50,N/D,N/D,N/D,,,,,,,,
Casa del Mobile,N/D,Artigiani,Carpenter,1.50,+39 0332 425 562,N/D,N/D,,,,,,,,
Martucci Gomme,N/D,Negozi,Tyres,1.51,N/D,N/D,N/D,,,,,,,,
McDonald's,N/D,Ristorazione,Fast Food,1.53,N/D,N/D,N/D,,,,,,,,
Yamamay,N/D,Negozi,Clothes,1.53,N/D,N/D,N/D,,,,,,,,
Tigros,Malnate,Negozi,Supermarket,1.54,+39 0332 861054,N/D,N/D,,,,,,,,
visiva Communication,N/D,Artigiani,Photographic Laboratory,1.57,N/D,N/D,N/D,,,,,,,,
Black Star Tattoo,N/D,Negozi,Tattoo,1.58,N/D,N/D,N/D,,,,,,,,
Papillon,N/D,Ristorazione,Ristorante,1.61,N/D,N/D,N/D,,,,,,,,
FedaFlex,N/D,Negozi,Bed,1.62,N/D,N/D,N/D,,,,,,,,
InsubriaMed,N/D,Sanita',Dentista,1.62,N/D,N/D,N/D,,,,,,,,
Crespi,N/D,Negozi,Car,1.70,N/D,N/D,N/D,,,,,,,,
Crespi,N/D,Negozi,Car,1.73,N/D,N/D,N/D,,,,,,,,
Multitecnica srl,N/D,Negozi,Electronics,1.75,N/D,N/D,N/D,,,,,,,,
