Target ID,Nome Attivita,Comune,Indirizzo,Provincia,Categoria,Sottocategoria,Priorita Distanza,Distanza KM,Ha Sito Web,Opportunita Web,Telefono,Email,Sito Web,OSM URL,Motivo Shortlist,Brief Ricerca
DR-001,La Pepita,Vedano Olona,"Piazza San Maurizio 2, Vedano Olona",Varese,Ristorazione,Bar,ALTISSIMA,0.23,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/12409121372,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-002,7's Giò,Vedano Olona,"Via Spech 1, Vedano Olona",Varese,Ristorazione,Bar,ALTISSIMA,0.38,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/12409121371,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-003,Santa Teresa,Vedano Olona,"Via Quattro Novembre 11, Vedano Olona",Varese,Ristorazione,Ristorante,ALTISSIMA,0.47,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/12409121378,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-004,Il fico d'India,N/D,N/D,Varese,Ristorazione,Pub,ALTISSIMA,0.59,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/2186320433,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-005,Kiri,N/D,N/D,Varese,Ristorazione,Ristorante,ALTISSIMA,1.31,NO,ALTA,+390332861783,N/D,N/D,https://www.openstreetmap.org/way/1318535213,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-006,Albergo Ristorante Marone,N/D,N/D,Varese,Ristorazione,Ristorante,ALTISSIMA,1.41,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/way/1267134725,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-007,McDonald's,N/D,N/D,Varese,Ristorazione,Fast Food,ALTISSIMA,1.53,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/way/195939170,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-008,Papillon,N/D,N/D,Varese,Ristorazione,Ristorante,ALTISSIMA,1.61,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/12556362306,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-009,Bar Mirò,N/D,N/D,Varese,Ristorazione,Bar,ALTISSIMA,1.91,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/node/3027118503,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
DR-010,La Locanda del Chierichetto,N/D,N/D,Varese,Ristorazione,Ristorante,ALTISSIMA,1.94,NO,ALTA,N/D,N/D,N/D,https://www.openstreetmap.org/way/146031870,senza sito | opportunita web alta | categoria adatta a ricerca recensioni | priorita altissima,"verifica il match con nome, comune e indirizzo; trova sito ufficiale e social reali; trova rating, numero recensioni e fonte recensioni principale; sintetizza cosa fa davvero l'attivita; estrai punti forti, criticita e un angolo commerciale concreto; cerca menu, fascia prezzo, servizio, atmosfera, tempi di attesa; usa soprattutto Google Maps, RestaurantGuru, Tripadvisor, TheFork e sito ufficiale"
