Data Ricerca,Priorita',Distanza da Vedano Olona (km),Lat,Lon,Categoria,Sottocategoria,Nome Attivita',Comune,Indirizzo,Provincia,Telefono,Email,Sito Web,Ha Sito Web,Opportunita' Web,Fonte,OSM URL,Note
2026-04-10 15:01:39,ALTISSIMA,1.55,45.781626,8.904373,Ristorazione,Ristorante,Agriturismo Le Due Querce,N/D,N/D,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/way/959078302,Verificare contatto commerciale e stato sito web
2026-04-10 15:01:39,ALTISSIMA,1.63,45.78587,8.902229,Negozi,Garden Centre,Ortoflor Garden,N/D,N/D,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/way/1351840524,Verificare contatto commerciale e stato sito web
2026-04-10 15:01:39,ALTISSIMA,2.31,45.78535,8.912765,Negozi,Supermarket,In's Mercato,N/D,N/D,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/node/12460945333,Verificare contatto commerciale e stato sito web
2026-04-10 15:01:39,ALTISSIMA,2.57,45.785604,8.916304,Negozi,Furniture,Mosca Mobili,N/D,N/D,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/node/12460954673,Verificare contatto commerciale e stato sito web
2026-04-10 15:01:39,ALTISSIMA,2.67,45.788414,8.915885,Negozi,Cheese,Casale Roccolo,Binago,"Via Casale Roccolo 3, 22070 Binago",Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/node/9182160612,Verificare contatto commerciale e stato sito web
2026-04-10 15:01:39,ALTISSIMA,2.72,45.793018,8.912073,Negozi,Car Repair,Vintage Garage,N/D,N/D,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/way/1072610489,Verificare contatto commerciale e stato sito web
2026-04-10 15:01:39,ALTISSIMA,2.96,45.797565,8.909788,Ristorazione,Ristorante,Etnic Restaurant,N/D,Via Armando Diaz,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/node/4727648690,Verificare contatto commerciale e stato sito web
2026-04-10 15:01:39,ALTISSIMA,2.99,45.798473,8.908565,Sanita',Studio Medico,Ambulatorio Medico e Punto Prelievi Valduce,N/D,N/D,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/way/1111826516,Verificare contatto commerciale e stato sito web
2026-04-10 15:01:39,ALTISSIMA,3.28,45.778411,8.927823,Ristorazione,Ristorante,Nuvola Rossa,N/D,N/D,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/way/307509391,Verificare contatto commerciale e stato sito web
2026-04-10 15:01:39,ALTISSIMA,3.28,45.785559,8.926,Ristorazione,Ristorante,Osteria Picolla Vigna,N/D,N/D,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/node/12234795844,Verificare contatto commerciale e stato sito web
2026-04-10 15:01:39,ALTISSIMA,3.62,45.786345,8.930339,Negozi,Supermarket,Esselunga,Solbiate con Cagno,"Via Roma 19, Solbiate con Cagno",Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/way/96396174,Verificare contatto commerciale e stato sito web
