Data Ricerca,Priorita',Distanza da Vedano Olona (km),Lat,Lon,Categoria,Sottocategoria,Nome Attivita',Comune,Indirizzo,Provincia,Telefono,Email,Sito Web,Ha Sito Web,Opportunita' Web,Fonte,OSM URL,Note
2026-04-08 14:11:36,ALTISSIMA,0.09,45.776643,8.886694,Sanita',Farmacia,Rossi,N/D,N/D,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/node/3570995593,Verificare contatto commerciale e stato sito web
2026-04-08 14:11:36,ALTISSIMA,0.19,45.778602,8.885423,Servizi Professionali,Azienda,LATI,Vedano Olona,"Via Francesco Baracca 7, 21040 Vedano Olona",Varese,N/D,N/D,https://www.lati.com/it/,SI,MEDIA,OpenStreetMap / Overpass,https://www.openstreetmap.org/way/952274599,Verificare contatto commerciale e stato sito web
2026-04-08 14:11:36,ALTISSIMA,0.23,45.776655,8.882718,Ristorazione,Bar,La Pepita,Vedano Olona,"Piazza San Maurizio 2, Vedano Olona",Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/node/12409121372,Verificare contatto commerciale e stato sito web
2026-04-08 14:11:36,ALTISSIMA,0.38,45.775651,8.881069,Ristorazione,Bar,7's Giò,Vedano Olona,"Via Spech 1, Vedano Olona",Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/node/12409121371,Verificare contatto commerciale e stato sito web
2026-04-08 14:11:36,ALTISSIMA,0.43,45.778418,8.890693,Sanita',Farmacia,Farmacia di via Marconi,N/D,N/D,Varese,N/D,N/D,https://www.farmaciadiviamarconi.com/,SI,MEDIA,OpenStreetMap / Overpass,https://www.openstreetmap.org/node/6188001647,Verificare contatto commerciale e stato sito web
2026-04-08 14:11:36,ALTISSIMA,0.47,45.772683,8.885785,Ristorazione,Ristorante,Santa Teresa,Vedano Olona,"Via Quattro Novembre 11, Vedano Olona",Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/node/12409121378,Verificare contatto commerciale e stato sito web
2026-04-08 14:11:36,ALTISSIMA,0.59,45.774199,8.879075,Ristorazione,Pub,Il fico d'India,N/D,N/D,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/node/2186320433,Verificare contatto commerciale e stato sito web
2026-04-08 14:11:36,ALTISSIMA,0.62,45.772118,8.889656,Fitness & Sport,Centro Sportivo,Centro Sportivo Mario Porta,N/D,Via Tina Anselmi,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/way/59132817,Verificare contatto commerciale e stato sito web
2026-04-08 14:11:36,ALTISSIMA,0.72,45.776373,8.894865,Servizi Professionali,Azienda,Sicam,N/D,N/D,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/way/110379149,Verificare contatto commerciale e stato sito web
2026-04-08 14:11:36,ALTISSIMA,0.88,45.781701,8.8947,Sanita',Clinica,Centro Diagnostico Salus,N/D,N/D,Varese,N/D,N/D,N/D,NO,ALTA,OpenStreetMap / Overpass,https://www.openstreetmap.org/way/110440699,Verificare contatto commerciale e stato sito web
